name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Clash of Joy,Clash of Joy,Farsi,2021-07-29,327049,36,0.239,0.703,0.48,9,0.676,0.866,0.167,-8.684,0.0432,0,122.006,4
Monomom,Monomom,alva noto,2021-12-17,331520,38,0.865,0.351,0.0395,7,0.0866,0.838,0.11,-20.953,0.0359,0,99.976,4
Smoke,Smoke,AK,2021-06-23,222089,36,0.479,0.592,0.0758,9,0.613,0.806,0.106,-13.58,0.0368,0,134.006,4
Skylab District,Skylab District,Barry Can't Swim,2021-02-26,217768,39,0.0349,0.561,0.128,2,0.818,0.342,0.0635,-8.366,0.042,0,127.0,4
Cool Air,Cool Air,DJ Counselling,2021-04-30,270506,41,0.209,0.76,0.216,4,0.682,0.877,0.0719,-8.906,0.134,0,122.018,4
Partner - Edit,Partner,Tom VR,2021-07-09,274015,37,0.0416,0.7,0.138,2,0.743,0.829,0.131,-11.148,0.0398,1,127.003,4
The Frequency of the Universe,Breathing Tides,Teen Daze,2021-02-19,225197,37,0.745,0.132,0.0295,1,0.0835,0.927,0.0984,-17.64,0.0403,1,88.161,4
If It Gets Too Much,If It Gets Too Much,Dejector,2021-06-11,232097,32,0.345,0.719,0.436,11,0.617,0.00224,0.0805,-12.977,0.634,0,123.032,4
Merlins Head - Aparde Remix,Juno (Remixes),Parra for Cuva,2021-10-22,279600,37,0.42,0.427,0.105,9,0.471,0.875,0.107,-10.843,0.136,0,100.044,4
6000 Ft.,Heartbreak / 6000 Ft.,Bonobo,2020-11-13,336092,43,0.0793,0.656,0.434,8,0.902,0.871,0.0472,-9.453,0.0403,0,121.015,4
