name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Feel Jolly,Feel Jolly,Matt Kaff,2021-09-24,172450,42,0.496,0.638,0.222,10,0.268,0.563,0.0883,-13.141,0.0601,1,70.005,4
Le Hippie,Le Hippie,Herbert Ungarn,2021-09-12,142666,41,0.861,0.473,0.158,0,0.234,0.877,0.0971,-15.948,0.0539,1,134.369,3
Artwork,Artwork,Push & Play,2022-02-22,140106,38,0.839,0.714,0.531,5,0.229,0.878,0.111,-10.45,0.0721,1,61.013,4
Faro,Faro,Sou El,2021-09-17,155294,39,0.924,0.652,0.276,6,0.162,0.928,0.104,-14.549,0.292,0,84.999,4
Tomorrow Will Be Better,Inner Passages,Hoffy Beats,2021-05-28,154088,44,0.735,0.576,0.0652,3,0.179,0.627,0.106,-11.253,0.0329,1,77.003,4
I Am a Flower,Pilot Girl,Nyans,2021-09-20,103500,40,0.726,0.581,0.194,8,0.155,0.946,0.104,-14.04,0.0353,1,70.005,4
dead reckoning,abstract mapping,exogon,2021-03-21,108000,45,0.976,0.656,0.308,7,0.229,0.895,0.114,-9.416,0.0568,1,80.071,4
positive,positive,Slopoke,2021-09-10,153846,43,0.265,0.627,0.268,3,0.254,0.858,0.0922,-9.466,0.0665,1,78.174,4
Sleep For Love,Broken Pattern,Codename Chinadoll,2021-09-20,93433,40,0.641,0.77,0.331,6,0.0663,0.887,0.106,-24.472,0.16,0,75.004,4
saturday sun,saturday sun,Awrail,2022-01-06,164651,38,0.933,0.671,0.694,9,0.135,0.931,0.0971,-15.624,0.09,0,172.037,4
Wandering Spirits,Wandering Spirits,Nogymx,2021-09-08,165482,44,0.113,0.616,0.105,9,0.408,0.353,0.0885,-13.405,0.0351,0,128.054,4
Birdlife,clear skies,Kotsaku,2021-08-19,111223,40,0.426,0.649,0.519,11,0.364,0.869,0.131,-12.63,0.0733,1,139.911,4
Night Light,Night Light,Austeria,2022-03-20,129882,51,0.876,0.724,0.038,2,0.229,0.919,0.106,-12.269,0.0579,1,136.035,4
Ceiling,Big City Music,Mauro Itzhak,2021-05-26,113262,39,0.732,0.575,0.527,11,0.606,0.261,0.235,-8.834,0.481,1,78.951,4
Everything Once Again,Everything Once Again,Ponzi Skeemz,2021-09-11,150232,41,0.713,0.707,0.0726,4,0.396,0.337,0.106,-10.354,0.0679,0,127.959,4
