name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Hybrid Moments - Spotify Singles,Spotify Singles,Bluewerks,2022-05-04,124680,51,0.698,0.407,0.444,3,0.377,0.781,0.113,-13.01,0.118,1,79.732,4
first things first,first things first,merīkurisumasu!,2022-05-19,131200,0,0.969,0.594,0.115,5,0.261,0.956,0.106,-11.359,0.0559,1,74.967,4
Payday,The Cat's Meow,Crate Diggers,2022-05-18,86000,1,0.875,0.696,0.461,11,0.447,0.787,0.241,-10.871,0.044,0,89.981,4
Supercolor,Supercolor,Gold School,2022-02-05,108116,53,0.117,0.756,0.938,8,0.631,0.932,0.0809,-9.512,0.0505,0,154.003,4
Blush,Blush,Kyoto Dreams,2021-08-13,157467,50,0.942,0.717,0.576,2,0.117,0.732,0.0915,-18.952,0.134,1,83.993,4
Ginger and Lime,the spice is right,spice rack,2021-04-18,141627,52,0.0875,0.728,0.297,7,0.636,0.852,0.0667,-7.792,0.0606,1,85.985,4
Belle,Belle,Lewis Harris,2022-04-19,138750,48,0.596,0.826,0.294,0,0.407,0.851,0.11,-10.394,0.196,1,160.047,4
Little Waves,Little Waves,Moderator,2022-04-22,173400,55,0.643,0.74,0.633,3,0.466,0.898,0.17,-8.912,0.0519,0,74.985,4
Restless,Restless,Moodster,2021-08-17,115200,52,0.529,0.861,0.349,5,0.333,0.611,0.0933,-9.36,0.0786,0,74.999,4
Dinner is Ready,Dinner is Ready,Louk,2021-08-20,147621,51,0.445,0.615,0.236,5,0.128,0.871,0.156,-16.44,0.043,0,82.012,4
embrace,embrace,Donovan's Playground,2021-08-11,123000,49,0.803,0.631,0.281,8,0.123,0.9,0.183,-16.837,0.0657,1,79.968,4
When We Last Spoke,When We Last Spoke,Birds Of The West,2022-04-20,111000,54,0.799,0.713,0.268,5,0.495,0.934,0.108,-8.835,0.078,0,80.002,4
Take Away,Take Away,Under Surface Express,2022-02-23,111529,47,0.32,0.806,0.378,9,0.565,0.905,0.109,-9.411,0.0649,0,113.417,5
Move to safety,Move to safety,PLIZ DO,2022-03-14,135000,47,0.919,0.765,0.622,3,0.153,0.566,0.104,-14.997,0.0643,0,87.991,4
Nightfall,Aesthetic Sounds,Aesthetic Sounds,2022-04-22,113005,46,0.881,0.572,0.232,3,0.416,0.925,0.111,-12.806,0.0437,0,79.211,4
My Heart Jumps,My Heart Jumps,Ah. BLOOM,2022-04-22,262666,45,0.0477,0.592,0.312,2,0.715,0.184,0.101,-8.845,0.0586,1,89.988,4
peaceful,peaceful,soulful beats,2022-03-17,180000,47,0.947,0.747,0.637,6,0.152,0.959,0.0711,-16.112,0.375,0,75.001,4
Levitar,Levitar,Senoidal,2022-04-01,147692,46,0.96,0.616,0.312,7,0.365,0.818,0.116,-16.309,0.0504,1,77.973,4
sonic colors,sonic colors,Faith Lofi,2022-05-27,120000,0,0.396,0.729,0.929,8,0.459,0.679,0.064,-8.074,0.17,1,79.834,4
At Night,At Night,Mylo B,2022-05-26,132007,0,0.527,0.726,0.504,2,0.354,0.872,0.0894,-9.053,0.0447,1,80.006,4
Summer Zootin',Summer Zootin',kBeats,2022-05-27,115505,0,0.95,0.624,0.0894,2,0.213,0.859,0.0678,-14.32,0.0573,1,85.019,4
Monday Blues,Monday Blues,Pastel,2022-05-27,94528,0,0.648,0.828,0.374,7,0.59,0.862,0.385,-10.509,0.107,1,106.011,4
Costa Calma,Costa Calma,Rudy Raw,2022-05-27,140800,0,0.202,0.725,0.835,1,0.663,0.848,0.0954,-12.993,0.0351,1,149.942,4
Taming Moon,Taming Moon,Moderator,2022-05-26,145794,7,0.308,0.642,0.574,10,0.443,0.914,0.119,-13.885,0.0619,0,146.068,4
Egg Rollz,Egg Rollz,Jobii,2022-05-20,131518,30,0.307,0.443,0.491,5,0.534,0.913,0.113,-6.601,0.0482,0,87.163,4
Vitalization,Frodas,Guustavv,2022-05-20,119944,11,0.253,0.615,0.207,5,0.39,0.915,0.111,-13.095,0.128,0,162.125,4
Temple,Sensei,Soul Dojo,2022-05-18,102470,1,0.554,0.711,0.697,2,0.591,0.906,0.0908,-8.543,0.0659,1,170.014,4
Cherry Blossom,Cherry Blossom,Komorebi,2022-05-20,120000,0,0.957,0.506,0.498,10,0.24,0.904,0.138,-14.33,0.0534,1,57.359,4
Mosquito,Friday Love,glenn.,2022-04-03,99882,49,0.908,0.783,0.434,0,0.466,0.896,0.114,-8.484,0.184,1,85.041,4
Makes me smile,You Can´t See,Jerrick Lamar,2022-04-03,98220,48,0.898,0.807,0.532,2,0.293,0.816,0.384,-9.815,0.0743,0,84.99,4
Dijon Lofi,Magnifique,Printeme,2022-04-03,97699,46,0.573,0.687,0.113,8,0.452,0.934,0.122,-12.331,0.067,1,78.642,4
Air,Few Colours,Miu Tikku,2021-08-02,83333,45,0.0152,0.543,0.284,6,0.324,0.865,0.156,-14.81,0.0734,0,89.342,4
Light in the Sky,Light in the Sky,Project AER,2022-04-19,160212,46,0.224,0.533,0.0631,2,0.386,0.754,0.132,-11.851,0.0562,1,93.939,4
