name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Dang! (feat. Anderson .Paak),The Divine Feminine,Mac Miller,2016-09-16,305350,72,0.00826,0.836,0.556,5,0.67,0.000355,0.0837,-6.907,0.23,0,107.018,4
peppermint,peppermint,lavender,2020-07-10,132915,49,0.895,0.564,0.564,4,0.379,0.257,0.0874,-7.732,0.0391,1,104.912,4
I Miss My Dawgs,I Miss My Dawgs,Simpson,2020-06-16,142471,0,0.0951,0.779,0.74,9,0.309,0.0045,0.33,-11.634,0.0662,1,75.007,4
3005,Because the Internet,Childish Gambino,2013-12-10,234215,77,0.113,0.472,0.636,6,0.448,0.0,0.0914,-7.272,0.326,0,166.077,4
Heybb!,Heybb!,binki,2019-10-17,148607,57,0.0174,0.654,0.687,6,0.972,0.0,0.402,-2.872,0.103,0,117.009,4
Just Don't,Just Don't,Zanski,2021-06-04,241000,39,0.343,0.534,0.459,8,0.573,1.68e-05,0.0875,-4.988,0.0428,1,89.804,4
Two Worlds Apart,Sometimes I Might Be Introvert,Little Simz,2021-09-03,178066,55,0.611,0.455,0.42,2,0.636,0.0,0.145,-7.179,0.127,1,140.708,4
Tamagotchi,Tamagotchi,Omar Apollo,2022-03-23,168920,52,0.083,0.755,0.553,11,0.514,0.0,0.128,-6.942,0.173,0,133.1,4
Only Child,Only Child,Tierra Whack,2019-02-19,239324,54,0.849,0.826,0.802,1,0.365,3.8e-06,0.186,-7.024,0.0412,1,85.244,4
freetime,freetime,Schwey,2020-08-28,149944,40,0.382,0.742,0.72,0,0.627,4.98e-05,0.0728,-7.094,0.165,1,88.105,4
Broke,Broke,Samm Henshaw,2018-08-08,207722,59,0.433,0.751,0.864,1,0.684,5.92e-06,0.18,-4.325,0.303,1,89.984,4
Phone Numbers,Phone Numbers,Dominic Fike,2019-07-04,146826,71,0.239,0.884,0.776,1,0.539,0.0,0.0805,-6.389,0.208,0,85.008,4
Head Down,Head Down,Ambar Lucid,2020-10-30,255600,45,0.267,0.689,0.37,0,0.659,0.00117,0.203,-4.448,0.0343,1,99.987,4
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),Flower Boy,"Tyler, The Creator",2017-07-21,255653,72,0.0456,0.48,0.297,0,0.61,0.0,0.313,-7.042,0.305,1,90.034,4
Garden Party,Garden Party,Masego,2021-10-06,229025,55,0.303,0.38,0.529,9,0.793,0.0,0.335,-5.887,0.467,0,174.007,4
8TEEN,American Teen,Khalid,2017-04-27,228600,76,0.225,0.83,0.642,1,0.585,0.00209,0.0576,-5.802,0.0366,1,105.03,4
Kids,Kids,Current Joys,2015-03-08,269142,10,0.508,0.827,0.904,6,0.66,0.403,0.0756,-9.669,0.0337,1,113.449,4
Too Good,Collapsed In Sunbeams,Arlo Parks,2021-01-29,221000,58,0.298,0.718,0.843,5,0.772,0.0,0.337,-5.155,0.0529,0,95.917,4
Disco,Heaven Surrounds You,Surf Curse,2019-09-13,152760,0,0.0266,0.475,0.793,11,0.626,0.000313,0.194,-8.696,0.0291,0,173.086,4
Ordinary Pleasure,Outer Peace,Toro y Moi,2019-01-18,183752,56,0.154,0.882,0.783,7,0.781,0.0163,0.105,-7.384,0.14,1,115.006,4
Kno Me,Kno Me,Jerry Paper,2022-02-01,216536,41,0.0157,0.617,0.734,8,0.617,0.769,0.291,-7.008,0.0296,1,134.93,4
King,King,Dreamer Isioma,2020-10-07,155624,38,0.0986,0.682,0.398,11,0.686,0.363,0.358,-8.326,0.0488,0,128.035,4
Secret Plan,Secret Plan,Drug Store Romeos,2021-05-31,210506,37,0.2,0.328,0.428,6,0.464,0.731,0.0887,-12.753,0.0291,1,104.554,4
Electric Feel,Oracular Spectacular,MGMT,2007-12-14,229640,75,0.0709,0.763,0.561,1,0.803,0.285,0.348,-3.713,0.0351,1,103.04,3
Fruit Bats,Fruit Bats,Freeds,2021-02-04,175312,38,0.556,0.897,0.522,10,0.466,0.000165,0.119,-10.18,0.0478,1,104.944,4
So High,So High,Doja Cat,2014-03-11,201573,68,0.133,0.647,0.659,10,0.567,9.36e-06,0.0638,-5.777,0.0374,0,131.933,4
FYO,FYO,MICHELLE,2021-01-27,164963,47,0.279,0.869,0.617,5,0.552,0.00445,0.105,-8.586,0.0367,1,106.999,4
Can’t Decide,Limbo,Aminé,2020-08-07,160236,54,0.0559,0.746,0.191,4,0.658,0.00206,0.108,-7.023,0.0408,0,97.0,4
Trader Joe,Jp3,Junglepussy,2018-05-11,188916,51,0.574,0.872,0.589,0,0.541,1.79e-06,0.0617,-6.932,0.0629,1,133.005,4
Youth,How To Be A Human Being,Glass Animals,2016-08-26,230693,66,0.129,0.648,0.785,9,0.718,0.00156,0.112,-7.765,0.0298,0,96.017,4
Wake up Jacob,Be the One You Love,Sitcom,2018-02-24,223601,0,0.153,0.573,0.584,6,0.657,0.0141,0.6,-7.557,0.162,1,94.936,4
death proof,nice,Amindi,2021-07-28,176318,37,0.0016,0.792,0.344,5,0.684,4.17e-05,0.162,-8.893,0.0553,0,109.981,4
Early,Early,Joy Crookes,2019-10-04,193934,56,0.223,0.785,0.633,0,0.435,0.00232,0.124,-9.115,0.147,1,138.934,4
Fkn Around (feat. Megan Thee Stallion),Fkn Around (feat. Megan Thee Stallion),Phony Ppl,2020-01-31,244048,54,0.0381,0.837,0.715,1,0.738,6.97e-06,0.0589,-5.297,0.117,0,110.993,4
Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018-06-08,324674,69,0.339,0.585,0.227,0,0.597,0.0404,0.195,-7.499,0.037,1,100.051,4
Tangerine - Channel Tres Remix,Tangerine (Channel Tres Remix),Aaron Childs,2018-02-23,294445,0,0.0158,0.866,0.366,11,0.351,0.23,0.182,-9.547,0.102,1,114.994,4
Let's go to Hell,Let's go to Hell,Tai Verdes,2021-11-03,152181,70,0.141,0.782,0.905,4,0.798,0.0,0.685,-5.07,0.0337,0,127.89,4
Stay Flo,When I Get Home,Solange,2019-03-01,175706,61,0.397,0.823,0.674,9,0.558,2.03e-05,0.0821,-7.119,0.0278,1,155.974,4
Disco Yes,Geography,Tom Misch,2018-04-06,280878,61,0.42,0.927,0.665,9,0.551,0.0346,0.298,-6.624,0.0921,0,123.042,4
Dapper (feat. Anderson .Paak),Genesis,Domo Genesis,2016-03-25,193093,58,0.0711,0.753,0.562,1,0.594,0.0,0.391,-9.486,0.0816,0,112.568,4
Vienna,The Stranger (Legacy Edition),Billy Joel,1977,214240,78,0.659,0.532,0.308,10,0.495,0.0,0.0754,-6.662,0.0343,1,124.936,4
i guess?,i guess?,elias,2019-12-27,194673,51,0.0161,0.758,0.615,10,0.844,0.0,0.1,-6.738,0.267,0,89.994,4
Relax,Baw Baw Black Sheep,Rejjie Snow,2021-07-09,231320,49,0.176,0.932,0.208,2,0.513,0.000113,0.109,-9.569,0.104,1,130.81,4
Strawberry Fields Forever - Remastered 2009,Magical Mystery Tour (Remastered),The Beatles,1967-11-27,247320,68,0.336,0.39,0.289,10,0.502,0.000138,0.0713,-12.277,0.178,1,97.871,4
Are You Feeling Sad?,"New Me, Same Us",Little Dragon,2020-03-27,158015,49,0.0616,0.767,0.462,5,0.646,5.81e-05,0.333,-8.612,0.0424,0,113.006,4
Hey Lover,Hey Lover,The Daughters Of Eve,1965-03-26,144000,52,0.25,0.48,0.684,7,0.482,0.000289,0.345,-11.45,0.0362,0,128.16,4
Quit My Job!,Quit My Job!,Yung Heazy,2021-04-30,217384,33,0.687,0.718,0.547,4,0.492,0.0,0.228,-8.446,0.0315,1,95.024,4
THE TASTE feat. BJ The Chicago Kid & Papi Beatz,THE TASTE feat. BJ The Chicago Kid & Papi Beatz,VIC MENSA,2021-09-22,186195,51,0.197,0.597,0.256,7,0.533,2.49e-06,0.114,-8.406,0.0454,0,134.165,4
"Shadow Man (feat. Phoelix, Smino & Saba)",Telefone,Noname,2016-08-12,311000,55,0.469,0.611,0.444,0,0.454,1.52e-06,0.189,-7.436,0.201,0,93.004,4
