name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
What About Spring,What About Spring,Mr. Käfer,2022-05-25,128720,3,0.479,0.549,0.145,2,0.373,0.867,0.0908,-9.33,0.0315,1,156.101,4
Connected,Connected,MiDN8,2022-05-16,152763,8,0.711,0.727,0.276,0,0.36,0.891,0.125,-14.305,0.104,1,151.826,4
Quick n' Dirty,Quick n' Dirty,Sátyr,2022-05-20,102439,37,0.444,0.669,0.55,9,0.454,0.835,0.0857,-12.613,0.0916,0,82.03,4
Dumptydum,Dumptydum,JAY VANILLA,2022-05-12,102000,39,0.291,0.786,0.771,5,0.393,0.88,0.134,-9.731,0.267,0,84.995,4
Charming,Charming,Zen Park,2022-05-19,110060,34,0.8,0.55,0.255,7,0.178,0.0129,0.177,-12.917,0.09,0,83.014,4
lounge life,lounge life,riviwi,2022-05-20,118554,36,0.489,0.743,0.533,11,0.333,0.903,0.215,-12.684,0.153,0,83.004,4
Magnifico Disastro,Me And Myself,XXIII,2022-05-06,80257,41,0.125,0.341,0.346,2,0.428,0.969,0.169,-14.595,0.0644,0,145.204,4
World Was Ending 2Day,World Was Ending 2Day,URCHN,2022-05-06,110286,8,0.625,0.625,0.371,7,0.407,0.89,0.106,-14.827,0.0592,1,147.986,4
Carpo,Carpo,Daylight Robbery!,2022-05-18,181546,25,0.379,0.387,0.163,1,0.495,0.858,0.108,-12.845,0.1,1,52.518,3
Golden Hour,Golden Hour,Mindeliq,2022-05-17,158079,35,0.362,0.721,0.556,5,0.33,0.798,0.112,-11.114,0.0721,0,82.013,4
Pictures of You,Pictures of You,Cloudsurfin',2022-05-23,131000,3,0.667,0.667,0.116,1,0.196,0.886,0.111,-16.105,0.0429,0,148.063,4
High Weirdo,Nebula,Fed Nance,2022-05-27,105937,0,0.818,0.607,0.494,1,0.304,0.0104,0.0928,-12.595,0.053,0,79.999,4
Forgiveness,Forgiveness,pucca,2022-05-03,102400,42,0.926,0.632,0.266,2,0.175,0.82,0.123,-14.541,0.0326,1,75.061,4
Grapefruit,Grapefruit,DYVN,2022-05-20,136000,21,0.565,0.61,0.106,1,0.47,0.953,0.16,-7.42,0.0523,1,86.194,4
Astra,Astra,Tesk,2022-05-13,110605,30,0.122,0.698,0.906,3,0.525,0.869,0.11,-7.892,0.164,0,87.998,4
Naru,Naru,ONO1,2022-05-12,105000,27,0.42,0.776,0.772,10,0.657,0.783,0.138,-6.95,0.0344,0,79.993,4
La Cantina Pt. II,La Cantina Pt. II,Grmmr.126,2022-05-26,125714,0,0.29,0.526,0.329,4,0.3,0.822,0.112,-13.13,0.0595,0,83.867,4
Haunted,Haunted,Spectateur,2022-05-06,199538,29,0.272,0.632,0.358,4,0.442,0.947,0.0714,-13.908,0.0311,0,136.036,4
Glass,Glass,Prod. By Outtake,2022-05-26,120000,0,0.693,0.542,0.33,2,0.437,0.89,0.0999,-13.757,0.0326,1,80.023,4
Pangea,Pangea,Civin,2022-05-06,102009,38,0.352,0.656,0.733,11,0.323,0.893,0.226,-15.909,0.0569,0,78.976,4
luna,luna,Donovan's Playground,2022-05-20,113684,11,0.863,0.833,0.317,0,0.267,0.878,0.118,-14.553,0.0788,1,152.085,4
Nocturnal Birds,Nocturnal Birds,Hubert Daviz,2022-05-04,145384,24,0.682,0.699,0.774,6,0.377,0.00136,0.113,-19.575,0.105,1,117.004,3
Santa Claus llegó a la ciudad,Otra Navidad Lo-Fi en México,Iván Rosa,2021-12-09,164788,2,0.942,0.822,0.172,0,0.336,0.956,0.123,-14.476,0.0703,1,112.026,4
Crescent,Crescent,URCHN,2022-02-18,143132,52,0.475,0.743,0.393,0,0.331,0.71,0.109,-10.857,0.0785,1,83.004,4
Remind Me Of Childhood,Remind Me Of Childhood,xander.,2022-02-07,169056,46,0.392,0.713,0.315,8,0.405,0.799,0.101,-12.385,0.149,1,159.067,4
Lemonade,Lemonade,FLVTEE,2022-04-11,162253,46,0.695,0.706,0.136,1,0.172,0.91,0.106,-14.976,0.0668,0,141.974,4
Saved,Saved,DECAP,2022-02-04,156000,48,0.393,0.665,0.122,8,0.303,0.873,0.11,-10.408,0.0482,1,80.022,4
Hidden Village,Hidden Village,Slacker Jack's,2021-10-08,157271,52,0.874,0.678,0.307,7,0.324,0.935,0.14,-12.405,0.0333,1,160.026,4
Bouncing Lemons,Bouncing Lemons,Mujo,2022-01-20,126072,48,0.836,0.504,0.454,7,0.532,0.617,0.0689,-9.454,0.18,1,136.043,4
Sorry But Not Sorry,Sorry But Not Sorry,xander.,2021-11-17,156000,49,0.189,0.784,0.553,6,0.326,0.835,0.159,-14.312,0.314,0,80.054,4
aromatherapy,aromatherapy,GALE,2021-11-10,160000,46,0.8,0.656,0.285,11,0.345,0.692,0.108,-9.885,0.146,1,86.731,4
Parallels,Parallels,SōNE,2022-01-28,133453,49,0.334,0.615,0.0875,10,0.569,0.428,0.102,-11.132,0.0698,1,134.002,4
The Red Line,The Red Line,Dualizm,2022-01-20,158620,50,0.102,0.537,0.388,1,0.351,0.141,0.0699,-9.915,0.0394,0,173.8,4
Wastin my Time,Volare,Hugo,2021-12-10,175058,50,0.692,0.878,0.455,2,0.328,0.824,0.099,-9.563,0.0447,0,84.981,4
Passion Fruit Panther,Passion Fruit Panther,Burrito Eats,2022-01-19,117073,15,0.924,0.713,0.397,2,0.514,0.903,0.173,-5.941,0.043,0,81.99,4
Ain't No Mountain High Enough - Lofi Flip,LoTown Vol. 2,uChill,2022-04-22,262612,54,0.0556,0.513,0.37,11,0.563,0.863,0.112,-11.684,0.105,0,169.943,4
Winter Dream,A Fox Town,fox,2021-12-21,99775,51,0.662,0.371,0.225,1,0.424,0.828,0.126,-11.531,0.0613,0,88.498,4
Too Lazy,A Cup of Camomilla,ᴄᴀᴍᴏᴍɪʟʟᴀ,2022-02-21,87000,47,0.956,0.668,0.0328,1,0.398,0.92,0.108,-11.97,0.147,1,91.099,4
When We're Dancing,When We're Dancing,Slumberville,2022-02-04,116446,47,0.864,0.752,0.365,4,0.2,0.807,0.33,-15.11,0.0452,0,134.012,4
sprouts,sprouts,invention_,2022-03-17,162000,48,0.122,0.61,0.43,5,0.442,0.643,0.167,-11.333,0.184,0,77.039,4
Clementine,Clementine,No Spirit,2022-02-28,175208,51,0.876,0.657,0.0856,5,0.102,0.926,0.0659,-15.265,0.0712,1,143.591,4
Apple Pie,Apple Pie,Ghostnaut,2022-03-08,141800,52,0.844,0.771,0.231,4,0.391,0.468,0.13,-12.392,0.1,0,84.032,4
Hakuna Matata,Lofi Minnie: Focus,Various Artists,2022-03-18,168746,56,0.313,0.65,0.348,0,0.382,0.881,0.103,-12.34,0.0275,1,125.035,4
Speakeasy,Speakeasy,Strehlow,2022-03-16,166329,48,0.914,0.511,0.318,11,0.247,0.908,0.141,-21.078,0.316,0,72.814,4
Misty Friday,Misty Friday,Dee Dee Kidd,2022-01-14,136254,48,0.686,0.628,0.453,11,0.518,0.86,0.097,-6.774,0.0381,0,74.0,4
Hybrid Moments - Spotify Singles,Bluewerks: Spotify Singles,Bluewerks,2022-05-04,124680,55,0.698,0.407,0.444,3,0.377,0.781,0.113,-13.01,0.118,1,79.732,4
floating,floating,azayaka,2022-01-06,145588,47,0.944,0.618,0.598,0,0.148,0.948,0.0957,-22.116,0.0469,1,136.04,4
Sweet Morning,Sweet Morning,Ouska,2022-02-01,160941,50,0.906,0.602,0.302,1,0.323,0.91,0.111,-14.608,0.0865,0,84.989,4
New Age,New Age,No Spirit,2022-01-26,133090,47,0.943,0.469,0.0376,3,0.239,0.936,0.189,-15.83,0.0303,1,110.043,4
Aware,Aware,Dontcry,2022-03-08,115446,51,0.532,0.723,0.153,9,0.435,0.161,0.092,-8.194,0.0888,1,79.025,4
Aviate,Aviate,Lazlow,2022-04-22,128800,56,0.698,0.685,0.233,2,0.435,0.932,0.128,-10.037,0.0373,0,150.082,4
