name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Marigold Express,Marigold Express,ViVi Lollypop,2021-08-08,132000,30,0.0652,0.846,0.333,10,0.328,0.889,0.0744,-8.676,0.0592,0,79.981,4
Dig It,The Samplers,The Samplers,2021-06-11,114239,30,0.063,0.744,0.892,10,0.225,0.431,0.128,-12.568,0.0951,0,82.975,4
McCoy,In Rainbows,Swans of London,2021-08-03,223190,37,0.717,0.499,0.445,11,0.458,0.909,0.0969,-6.757,0.127,0,83.472,4
Iced Down Medallions [Instrumental],Iced Down Medallions - EP,Royal Flush,1997-07-08,210226,30,0.000575,0.691,0.702,8,0.656,0.935,0.073,-7.741,0.121,0,187.75,4
Didn't You Hear?,Didn't You Hear?,Graphwize,2021-09-17,259898,29,0.626,0.495,0.255,9,0.235,0.0,0.108,-15.527,0.0721,0,177.238,4
Second Flat,Epic Love,Green Balloon,2020-10-26,87000,34,0.126,0.674,0.509,10,0.365,0.929,0.171,-12.642,0.125,0,79.995,4
1922,1922,Figub Brazlevic,2022-02-09,114146,36,0.0609,0.732,0.764,10,0.751,0.886,0.12,-6.169,0.0423,0,81.999,4
Cotton Candy,Cotton Candy,U-WARRIOR,2022-05-26,120259,0,0.368,0.829,0.733,5,0.483,0.878,0.182,-7.995,0.163,0,90.011,4
Coolin',Celebrity Shills,_91nova,2021-06-25,130666,29,0.51,0.743,0.383,0,0.516,0.882,0.153,-7.565,0.103,1,179.956,4
Renegades,Renegades,Sleepy Tigers,2021-07-07,178604,40,0.797,0.828,0.398,9,0.299,0.908,0.115,-5.761,0.0603,1,85.986,4
The Post,Highway Robbery,_91nova,2021-04-23,130666,30,0.0408,0.809,0.883,9,0.579,0.859,0.135,-6.06,0.0354,0,90.03,4
Streuende Hunde,Streuende Hunde,FLAME,2021-09-16,249640,35,0.479,0.786,0.233,3,0.289,0.312,0.272,-13.531,0.145,0,90.522,4
Queens,Overnight Oats,Dylan Sitts,2021-08-13,147042,30,0.0485,0.772,0.394,10,0.49,0.849,0.12,-8.165,0.0501,0,93.04,4
Authentic,Soul City,Crate Diggers,2021-03-08,83720,37,0.0199,0.598,0.311,1,0.424,0.816,0.0748,-12.406,0.0734,1,171.44,4
Goodies,Goodies,Psychedelicatessen,2021-09-14,84034,31,0.0298,0.646,0.653,2,0.635,0.919,0.167,-7.835,0.0293,1,89.997,4
Keeping it Simple,Keeping it Simple,ps-www,2021-07-29,158646,41,0.0495,0.651,0.0399,2,0.455,0.875,0.111,-12.965,0.106,0,170.033,4
Noon Sun,Noon Sun,Ph-Wert,2022-05-24,197950,3,0.313,0.735,0.888,10,0.38,0.866,0.104,-15.628,0.0664,0,94.99,4
For U,For U,twuan,2022-04-22,106742,39,0.0263,0.606,0.78,5,0.368,0.851,0.187,-9.275,0.066,0,81.027,4
Square Pusher,Square Pusher,Elisey,2020-11-02,111686,35,0.87,0.692,0.0756,1,0.137,0.775,0.104,-15.595,0.0389,0,85.995,4
Pool Party,Pool Party,Gold School,2021-03-08,72000,36,0.278,0.82,0.936,4,0.61,0.855,0.098,-10.249,0.035,0,160.103,4
2 Da Rhythm,High Again,Beat Oven,2021-07-04,68666,29,0.00874,0.741,0.651,0,0.611,0.895,0.0779,-10.204,0.0753,1,89.969,4
Dream Big,Moving Forward,DJ Agent M,2019-01-30,188749,34,0.0101,0.798,0.922,8,0.319,0.915,0.0975,-15.061,0.0674,1,92.981,4
Mobilize,Mobilize,Keyser Dope,2020-12-01,176000,30,0.598,0.613,0.141,11,0.549,0.884,0.103,-10.679,0.0353,1,89.985,4
Therzea,Therzea,Milo Fries,2021-03-04,118539,36,0.117,0.63,0.814,0,0.409,0.816,0.14,-11.784,0.291,1,85.014,4
Cruise,Love Trap,Trap McGrady,2020-07-09,203200,30,0.0404,0.667,0.543,9,0.837,0.882,0.077,-9.179,0.112,0,93.023,4
Old Enough To Party,Superpad,Beat Oven,2021-02-28,68822,30,0.0371,0.754,0.122,10,0.414,0.791,0.11,-7.372,0.13,1,169.939,4
Classic,Magic Roundabout,Tony Bones The Producer,2018-05-04,157500,37,0.00065,0.712,0.966,6,0.572,0.845,0.113,-9.343,0.0813,1,92.218,4
Yoshi,Video Game,FreakBeats,2021-02-12,87289,30,0.0732,0.708,0.636,1,0.668,0.747,0.0775,-8.252,0.0902,1,165.958,4
Tunnels,Dream Map,Garnishes,2021-02-22,103604,29,0.295,0.722,0.913,1,0.742,0.913,0.044,-6.448,0.162,1,172.003,4
Main Stage,Fake Business,_91nova,2021-03-26,138260,31,0.0167,0.809,0.223,8,0.394,0.866,0.245,-7.341,0.12,0,92.01,4
Dirty Streets,Beats In The Streets,Nostalgique,2021-02-18,71679,30,0.165,0.723,0.593,11,0.371,0.792,0.111,-9.422,0.0883,0,79.993,4
surrender,happy nest,wavcrush,2021-02-16,184615,31,0.68,0.753,0.104,7,0.483,0.805,0.115,-7.635,0.0857,0,78.012,4
Slow Down,Slow Down,HPY DAYZ,2021-03-23,187700,37,0.941,0.768,0.372,10,0.169,0.842,0.132,-12.003,0.058,0,77.997,4
Beach Cruizer,Fatbike Ride,Derivata,2020-12-02,128798,29,0.42,0.675,0.418,9,0.492,0.904,0.107,-8.569,0.064,0,74.993,4
Playful,Floweristic,Miss Sangria,2021-03-14,117000,31,0.535,0.633,0.233,9,0.498,0.768,0.153,-9.812,0.0311,1,80.035,4
93.,ouldies,yeyts.,2018-06-29,84637,38,0.226,0.614,0.373,8,0.67,0.853,0.368,-12.307,0.0513,0,86.012,4
How Is It?,How Is It?,Lightslope,2021-03-11,183658,29,0.754,0.787,0.445,0,0.278,0.0951,0.307,-10.437,0.189,1,81.964,4
Key Credit,Key Credit,xJ-Will,2021-02-11,128808,33,0.00224,0.56,0.311,4,0.608,0.879,0.0786,-10.792,0.0319,1,94.971,4
Ingleside,Ingleside,90sFlav,2019-03-08,84652,0,0.349,0.714,0.497,1,0.204,0.908,0.115,-11.756,0.201,1,81.005,4
shogun,moisture,class e,2020-11-18,92000,29,0.411,0.841,0.65,9,0.211,0.0215,0.111,-13.502,0.0795,0,89.972,4
9th Power,9th Power,Henyao,2019-04-05,176185,33,0.231,0.32,0.715,4,0.703,0.061,0.363,-6.643,0.648,0,165.946,4
Hot End,Hot End,Karmawin,2018-12-04,203180,33,0.00441,0.653,0.495,10,0.855,0.817,0.195,-4.609,0.0306,0,90.008,4
Nothing Changed,Nothing Changed,Alcynoos,2022-05-20,155133,19,0.229,0.664,0.777,5,0.386,0.368,0.134,-6.994,0.0506,1,82.086,4
seed,seed,MF Eistee,2022-05-20,120000,24,0.124,0.749,0.587,6,0.276,0.636,0.12,-11.5,0.522,0,175.635,4
The Séance - Instrumental,The Séance (Instrumental),SoulChef,2022-05-18,167234,32,0.00313,0.69,0.718,9,0.885,0.869,0.279,-3.445,0.0748,0,94.033,4
Take a Picture,Sleeper,MidPoint,2022-05-07,81473,19,0.0467,0.746,0.79,2,0.678,0.194,0.358,-8.972,0.351,1,95.028,4
Inner City,Enter the Dojo,Soul Dojo,2020-11-11,133457,30,0.361,0.741,0.711,10,0.435,0.864,0.122,-9.699,0.0514,0,106.949,4
Colours - Instrumental,How Not to Make a Living (Instrumentals),The Last Skeptik,2012-06-13,196287,31,0.0735,0.863,0.712,11,0.552,0.917,0.0608,-7.338,0.191,0,94.69,4
The All Good Important,Mugen Manga Melodies Vol. 1 (Reissue),Various Artists,2011-09-06,143516,29,0.0139,0.477,0.434,7,0.497,0.958,0.157,-3.987,0.16,0,173.86,4
Walk in the Park - Remix Instrumental,Public Assembly,Damu The Fudgemunk,2014-07-29,268074,34,0.00187,0.825,0.851,1,0.36,0.842,0.141,-13.964,0.0938,1,89.997,4
So Ready,The Heat,DOWORK,2022-05-06,144859,24,0.00161,0.401,0.251,7,0.761,0.778,0.177,-7.277,0.0659,0,159.613,4
The Realest,The Realest,Phil Tyler,2022-04-29,181546,23,0.0341,0.55,0.363,6,0.614,0.862,0.159,-8.002,0.107,1,171.906,5
