name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
San Jose,Vacation,Maple Syrup,2016-09-23,142909,0,0.862,0.837,0.856,7,0.345,0.866,0.0606,-10.545,0.145,1,88.02,4
Cul de Sac,v i d r i o,Jaeden Camstra,2018-01-24,83989,0,0.646,0.818,0.722,2,0.647,0.0728,0.358,-7.1,0.244,1,86.047,4
Hours,Patiently,Freddie Joachim,2010-07-16,117420,33,0.869,0.839,0.84,6,0.363,0.85,0.104,-5.819,0.0591,0,90.052,4
My Sunshine,Cruise Control,Kavv,2017-12-01,106666,0,0.933,0.695,0.932,5,0.185,0.908,0.111,-10.311,0.071,0,144.36,4
Open Air,Nights in Cologne,Huez,2018-06-22,91115,40,0.917,0.733,0.492,6,0.32,0.83,0.145,-12.042,0.066,0,86.549,4
Pretend,Falling,Allem Iversom,2018-09-01,61480,0,0.973,0.675,0.938,10,0.208,0.933,0.112,-21.776,0.0918,1,81.829,4
Sippin,Re.verse,FloFilz,2017-12-04,242463,0,0.0135,0.645,0.507,6,0.713,0.709,0.171,-9.241,0.0437,0,93.067,4
Saydee,Chillhop Essentials Summer 2018,Various Artists,2018-06-20,149374,0,0.744,0.639,0.47,2,0.36,0.272,0.098,-12.708,0.0303,1,132.004,4
Rockstar,Rockstar,Rap Nation,2017-09-29,226301,7,0.00295,0.748,0.661,8,0.502,0.864,0.136,-10.183,0.0431,0,131.998,4
Most Likely,The B_4 Tape,Afta-1,2017-05-10,140315,23,0.391,0.816,0.9,9,0.562,0.0436,0.356,-8.37,0.0662,0,111.46,5
forevermore,forevermore,linanthem,2018-11-03,81338,0,0.245,0.544,0.635,5,0.451,0.848,0.109,-10.727,0.0696,1,142.021,4
Mornin Dew,Satin Psicodelic,Sunni Colón,2018-08-29,324130,47,0.183,0.471,0.104,7,0.466,0.725,0.121,-11.466,0.0469,0,102.988,4
Seasons,"The Mixtape, Vol. 3",hiyasu,2018-12-14,149250,12,0.958,0.623,0.196,9,0.0429,0.929,0.114,-19.486,0.0632,1,90.008,4
Paris,Paris,frad,2018-08-19,147000,0,0.851,0.676,0.514,2,0.463,0.919,0.132,-10.726,0.0813,0,79.983,4
Ji-Eun's Sunset,Neon Impasse,City Girl,2018-07-02,168813,54,0.0923,0.931,0.172,4,0.517,0.816,0.114,-8.476,0.106,1,118.024,4
Withu,Beat Batch #3,Blvk,2017-09-16,104620,51,0.853,0.741,0.519,10,0.219,0.935,0.109,-11.878,0.0813,0,156.116,4
Noire,...Drifting,[ocean jams],2018-04-06,132413,15,0.616,0.465,0.536,1,0.585,0.242,0.301,-12.274,0.474,0,174.138,4
Game Over,Beat Batch #2,Blvk,2017-09-24,67709,39,0.487,0.594,0.969,2,0.0832,0.926,0.346,-16.486,0.293,1,78.21,3
sunny,sunny,j'san,2018-04-26,139130,48,0.468,0.811,0.646,0,0.429,0.607,0.109,-11.503,0.0789,1,138.027,4
mello,oldsoul.,tides.,2017-06-14,68634,0,0.896,0.684,0.79,8,0.371,0.944,0.0999,-9.73,0.0826,1,83.962,4
in time,her,j'san,2018-03-30,135000,33,0.202,0.688,0.358,11,0.183,0.467,0.0976,-13.376,0.124,1,80.13,4
Air,Beat Batch #2,Blvk,2017-09-24,77844,44,0.000179,0.567,0.135,11,0.335,0.74,0.275,-9.088,0.175,0,148.094,4
As the Sun Goes Down,Boardwalk Bumps,Engelwood,2018-04-11,148563,0,0.713,0.726,0.42,6,0.317,0.906,0.128,-7.526,0.053,1,181.155,4
Gameboy in Traffic,Kids' Menu,Jaeden Camstra,2017-06-02,71946,0,0.32,0.714,0.408,1,0.589,0.0243,0.126,-4.631,0.0438,1,75.994,4
Smoke Break,Nights in Cologne,Huez,2018-06-22,71053,1,0.789,0.671,0.55,10,0.36,0.773,0.0993,-11.982,0.0431,0,142.356,4
Green Lights,Nights in Cologne,Huez,2018-06-22,86749,1,0.572,0.441,0.35,4,0.595,0.92,0.121,-11.608,0.04,0,181.786,4
Busted Boom Box,Nights in Cologne,Huez,2018-06-22,95666,5,0.82,0.727,0.238,7,0.435,0.888,0.0883,-9.362,0.0875,1,186.128,4
"I Know You Wanna Stay Home, But",Groove Marauders 2,Lester Nowhere,2018-09-20,117798,6,0.3,0.637,0.566,6,0.547,0.82,0.275,-8.56,0.0512,0,92.116,4
Windbreaker,After Hours,ENTRO//,2018-08-29,132980,19,0.225,0.598,0.713,11,0.369,0.547,0.111,-9.643,0.156,0,171.994,3
9am in ToKyO,A Morning in ToKyO,Jack Dean,2017-11-06,138795,0,0.828,0.636,0.49,7,0.442,0.939,0.0925,-11.996,0.0374,1,82.968,4
Wes Mount,Faces & Spaces,Konteks,2018-12-14,164210,14,0.794,0.571,0.638,9,0.295,0.856,0.384,-18.066,0.0537,0,152.076,4
Checks,Ghosts Will Take Care of You,Lester Nowhere,2018-03-21,116441,33,0.719,0.584,0.712,0,0.686,0.883,0.203,-8.006,0.0683,1,153.954,4
Moonglow,Forest,Driver,2017-09-04,132004,34,0.186,0.716,0.69,5,0.468,0.12,0.0801,-11.53,0.0994,0,116.319,4
Dark Magician Girl,Lnr_[03],Killer Bee,2018-11-07,212118,4,0.318,0.629,0.266,10,0.472,0.859,0.121,-10.006,0.049,1,99.998,4
Affection,Life,Jinsang,2016-12-23,117495,63,0.914,0.698,0.607,1,0.193,0.937,0.0882,-15.01,0.0902,1,84.03,4
Disappear,Disappear,Smoke Trees,2018-03-18,165266,30,0.941,0.52,0.201,6,0.193,0.928,0.113,-15.841,0.0328,1,114.65,4
winter in rio,Rio,Wun Two,2014-01-18,100465,0,0.481,0.822,0.787,9,0.579,0.666,0.11,-8.955,0.0672,1,85.9,4
Bloom,The Jasmani Garden,Deya Dova,2006-01-01,243573,46,0.986,0.391,0.526,5,0.128,0.0,0.159,-12.946,0.0511,0,171.336,3
Gazel,Gazel,Zuma Dionys,2019-03-05,453612,38,0.00101,0.678,0.243,11,0.606,0.778,0.12,-10.698,0.0402,0,99.993,4
Love Dub,Life and the Void,Akal Dub,2014-01-01,390858,41,0.281,0.783,0.0818,0,0.443,0.886,0.114,-11.881,0.0947,0,139.965,4
Pine Leaves.,Solitude.,Jinsang,2016-01-16,90158,48,0.857,0.559,0.565,6,0.432,0.782,0.106,-11.537,0.147,1,82.706,4
That's Just Me,That's Just Me,Ameba,2019-06-10,90383,39,0.487,0.713,0.359,10,0.307,0.386,0.121,-9.657,0.13,0,170.033,4
i love being with you,Gentle Boy,Elijah Who,2017-09-29,96405,55,0.949,0.633,0.466,7,0.399,0.571,0.104,-10.568,0.0489,1,78.893,4
Flourish,Lost & Found,Cheeki,2017-11-12,72706,0,0.884,0.662,0.554,11,0.322,0.863,0.103,-15.335,0.0466,0,141.922,4
A New Day,A New Day,Kuwayamma,2019-12-05,132022,4,0.953,0.656,0.305,2,0.267,0.915,0.125,-19.88,0.0457,1,119.889,4
Fireworks,Hometown,Nymano,2018-10-17,138000,0,0.526,0.559,0.395,5,0.31,0.937,0.147,-10.53,0.373,0,188.177,4
Cocktails & Drinks,Jazz Lounge Supreme – Sexy Night Playlist,Various Artists,2019-01-19,176250,3,0.257,0.704,0.323,9,0.669,0.516,0.0553,-6.573,0.0483,1,175.876,4
Jazzy Lounge,Sexy Music & Chill Lounge Songs - Club Background Love Making Atmosphere,Sexy Music Lounge Club,2014-07-22,347393,3,0.415,0.719,0.516,6,0.635,0.85,0.0579,-6.391,0.0414,0,148.008,4
Italian Holidays,"Capri Italian Summer Piano Music 2014 - Romantic Smooth ""Solo Piano"" Music 4 your Italian Dinner, Piano Bar Happy Hour Edition",Piano Italian Music Note,2014-01-04,204765,4,0.994,0.494,0.236,2,0.0766,0.962,0.118,-16.209,0.0591,1,134.932,4
