name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Loving You Is a Mountain,Three,Isaia Huron,2020-01-03,208000,0,0.43,0.426,0.0384,7,0.484,0.00199,0.0888,-7.772,0.0335,1,58.339,4
Opiate,Opiate,Puma Blue,2020-11-17,151580,44,0.525,0.868,0.356,10,0.334,0.00397,0.238,-8.81,0.062,0,104.679,4
Stuck in the Sky,Stuck in the Sky,María Isabel,2020-10-16,134557,45,0.209,0.395,0.0814,2,0.344,1.97e-05,0.104,-10.529,0.0482,0,139.218,4
Tell Me,Tell Me,w00ds,2020-12-11,186250,43,0.42,0.675,0.27,9,0.414,0.692,0.339,-12.641,0.0298,1,128.052,4
Doors To Kick,Doors To Kick,Bobby Freemont,2021-05-20,206451,42,0.638,0.67,0.253,4,0.319,0.413,0.0847,-8.569,0.04,0,92.968,4
Cotton Candy,Cotton Candy,Weston Estate,2019-05-24,154074,52,0.39,0.606,0.19,10,0.275,0.0,0.135,-10.004,0.0288,1,81.041,4
Stay Where You Are,Stay Where You Are,Yuna,2020-05-15,209205,0,0.687,0.569,0.121,10,0.339,2.52e-05,0.24,-8.661,0.0289,1,124.818,4
James,Typical of Me,Laufey,2021-04-30,175970,12,0.842,0.5,0.371,9,0.372,0.00016,0.159,-9.906,0.0434,1,133.397,4
Like a Bird,New Daze,Bay Ledges,2020-08-21,189770,0,0.289,0.836,0.971,5,0.768,0.835,0.122,-8.418,0.0328,1,121.981,4
Beautiful,Beautiful,Rhye,2020-05-08,262533,50,0.112,0.817,0.402,10,0.306,0.163,0.158,-11.959,0.0535,1,91.014,4
that's us,that's us,Golden Vessel,2020-09-23,162406,43,0.531,0.795,0.539,9,0.404,0.715,0.197,-8.616,0.0609,1,126.003,4
Beauty Fades,Beauty Fades / Answer,Alex Siegel,2020-05-29,188221,43,0.105,0.733,0.623,10,0.528,0.000558,0.0966,-6.368,0.032,1,104.003,4
Stranger (feat. Saba & Jarreau Vandal),Overture,Gaidaa,2020-07-24,219451,48,0.338,0.784,0.188,5,0.531,2.26e-05,0.0996,-7.756,0.041,1,87.982,4
Colors We Made,Permanent Beta,Lani Rose,2020-07-17,170589,43,0.572,0.521,0.243,5,0.292,2.39e-06,0.303,-11.96,0.062,1,61.692,4
Flight,Flight,Postcard Boy,2020-04-24,141216,42,0.261,0.542,0.312,6,0.48,0.0213,0.346,-12.111,0.0281,0,90.006,4
Zombies,Zombies,Ethan Tasch,2020-10-16,192114,42,0.115,0.584,0.849,3,0.597,0.362,0.119,-9.586,0.026,1,138.003,4
either side,either side,LOONY,2021-05-21,167213,45,0.66,0.791,0.363,7,0.268,0.000346,0.095,-6.417,0.0496,1,122.194,4
ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),Surf Mesa,2019-11-26,176546,77,0.0686,0.674,0.33,11,0.774,0.00188,0.393,-7.567,0.0892,0,112.05,4
Can't Stop Your Lovin',Can't Stop Your Lovin',Poolside,2019-07-24,237533,52,0.672,0.705,0.963,1,0.782,0.00496,0.138,-6.284,0.0377,0,90.997,4
Keeping Busy,Keeping Busy,Isaac Lewis,2020-04-22,172384,44,0.9,0.729,0.528,9,0.343,4.65e-05,0.105,-7.962,0.0397,1,124.979,4
BOGU$,BOGU$,Annalise Azadian,2020-06-24,164845,42,0.604,0.802,0.276,5,0.413,0.000193,0.111,-10.111,0.0858,0,117.907,4
Moonboy,Moonboy,Bennett Coast,2020-07-10,132230,53,0.855,0.507,0.0519,9,0.375,0.00981,0.11,-10.637,0.0256,1,90.006,4
Every Day Is A Holiday,Every Day Is A Holiday,DOPE LEMON,2020-07-31,353211,49,0.391,0.53,0.543,1,0.566,0.00225,0.196,-9.027,0.197,1,180.007,4
Nightrider,Nightrider,Tom Misch,2020-04-16,300990,49,0.0774,0.729,0.582,11,0.571,0.213,0.0994,-9.188,0.0869,0,81.486,4
Hell of a Ride,Hell of a Ride,Oscar Louis,2019-12-05,243900,42,0.533,0.743,0.29,9,0.42,0.00148,0.141,-11.583,0.158,0,127.931,4
Hate That I Love You,Hate That I Love You,New West,2019-11-15,212105,0,0.754,0.536,0.179,2,0.297,4.8e-06,0.136,-7.609,0.0293,0,113.773,3
Begin (feat. Wales),Begin (feat. Wales),Shallou,2017-03-31,242859,0,0.815,0.601,0.531,6,0.499,0.712,0.109,-11.131,0.0343,1,96.981,4
Je t'aime encore,Je t'aime encore,Yelle,2020-04-28,217230,44,0.361,0.517,0.221,5,0.594,0.0055,0.106,-8.763,0.0414,1,100.043,4
Trust,Lost,Brent Faiyaz,2018-10-19,158420,74,0.224,0.764,0.471,8,0.394,8.71e-05,0.119,-8.559,0.154,1,92.011,4
Devil Eyes,Providence,Hippie Sabotage,2016-02-05,131271,77,0.702,0.391,0.199,1,0.396,0.405,0.315,-8.621,0.189,0,99.112,5
Up All Night,Up All Night,Alex Siegel,2019-06-21,177000,42,0.296,0.682,0.423,9,0.472,0.599,0.152,-6.055,0.0299,0,74.003,4
Lovers - Home Made,Lovers (Home Made),Anna of the North,2020-07-17,205091,40,0.244,0.416,0.23,0,0.436,0.0406,0.289,-8.639,0.0286,1,119.868,3
Supalonely (Lownely),Supalonely (Lownely),BENEE,2020-05-05,199308,50,0.888,0.696,0.204,7,0.338,2.85e-05,0.182,-8.611,0.037,1,115.007,4
Heartache,Heartache,yaeow,2020-07-16,147200,0,0.959,0.729,0.913,0,0.306,0.618,0.122,-14.068,0.0589,1,150.002,4
Human Nature,Human Nature,Babeheaven,2020-05-08,259646,0,0.331,0.575,0.227,2,0.745,0.529,0.0924,-6.9,0.133,1,175.968,4
Cold War,Blood Type,Cautious Clay,2018-02-21,202597,62,0.274,0.654,0.462,1,0.47,0.249,0.103,-10.383,0.0586,0,77.083,4
Sentimental,Sentimental,Still Haze,2020-05-08,226442,42,0.589,0.555,0.299,4,0.436,0.904,0.151,-12.4,0.0257,0,90.002,4
Something About You (with Rudimental) - Chill Mix,Something About You (with Rudimental) [Alternate Versions],Elderbrook,2019-10-04,166533,63,0.365,0.8,0.443,6,0.516,0.00206,0.134,-8.076,0.127,0,106.122,4
Figment Of My Mind,Figment Of My Mind,Bruno Major,2020-05-29,215866,0,0.85,0.332,0.146,5,0.134,0.0126,0.109,-15.857,0.0393,0,87.145,4
How It Was,How It Was,Yoste,2020-05-22,189259,0,0.66,0.556,0.359,2,0.479,0.00317,0.097,-10.191,0.0657,1,81.028,4
Diamond,Diamond,Shivum Sharma,2020-05-12,203246,42,0.71,0.448,0.304,6,0.364,6.59e-05,0.0914,-6.89,0.0299,1,159.963,4
